File,Score
TestReal-RA62.tsv,0.4551195204257965
TestReal-RA49.tsv,0.4063514471054077
TestReal-RA7.tsv,0.4065536856651306
TestReal-RA40.tsv,0.42674919962882996
TestReal-RA81.tsv,0.425391286611557
TestReal-RA13.tsv,0.39597803354263306
TestReal-RA58.tsv,0.41050735116004944
TestReal-RA60.tsv,0.4244334399700165
TestReal-RA30.tsv,0.42678672075271606
TestReal-RA2.tsv,0.4009689390659332
TestReal-RA22.tsv,0.4096367061138153
TestReal-RA21.tsv,0.4090314507484436
TestReal-RA28.tsv,0.4558790624141693
TestReal-RA72.tsv,0.42255890369415283
TestReal-RA74.tsv,0.4411366581916809
TestReal-RA41.tsv,0.4498121738433838
TestReal-RA29.tsv,0.41354048252105713
TestReal-RA80.tsv,0.3944166600704193
TestReal-RA51.tsv,0.44685572385787964
TestReal-RA63.tsv,0.42678236961364746
TestReal-RA8.tsv,0.41514915227890015
TestReal-RA48.tsv,0.43737953901290894
TestReal-RA68.tsv,0.44339579343795776
TestReal-RA82.tsv,0.39723899960517883
TestReal-RA11.tsv,0.3947969675064087
TestReal-RA16.tsv,0.4354096055030823
TestReal-RA79.tsv,0.42979440093040466
TestReal-RA1.tsv,0.38684943318367004
TestReal-RA59.tsv,0.40692561864852905
TestReal-RA50.tsv,0.4165007174015045
TestReal-RA14.tsv,0.41784700751304626
TestReal-RA57.tsv,0.4019031524658203
TestReal-RA10.tsv,0.3781832754611969
TestReal-RA76.tsv,0.4214939475059509
TestReal-RA17.tsv,0.41500264406204224
TestReal-RA52.tsv,0.37375983595848083
TestReal-RA6-CD4.tsv,0.38750848174095154
TestReal-RA18.tsv,0.4022655785083771
TestReal-RA56.tsv,0.41350457072257996
TestReal-RA3-3years.tsv,0.4640878140926361
TestReal-RA25.tsv,0.39208072423934937
TestReal-RA3.tsv,0.4132380485534668
TestReal-RA53.tsv,0.39657971262931824
TestReal-RA26.tsv,0.4499577581882477
TestReal-RA4.tsv,0.38012218475341797
TestReal-RA66.tsv,0.4233579933643341
TestReal-RA1-7months.tsv,0.4289357364177704
TestReal-RA9.tsv,0.3830623924732208
TestReal-RA12.tsv,0.40519842505455017
TestReal-RA23-CD4.tsv,0.40409860014915466
TestReal-RA24.tsv,0.3965680003166199
TestReal-RA75.tsv,0.3812488615512848
TestReal-RA23.tsv,0.3916608691215515
TestReal-RA32.tsv,0.4325159192085266
TestReal-RA2-CD8+Vb1+.tsv,0.39510247111320496
TestReal-RA5.tsv,0.39872854948043823
TestReal-RA6-SF.tsv,0.4099974036216736
TestReal-RA37.tsv,0.4120825231075287
TestReal-RA23-SF-CD8.tsv,0.40745943784713745
TestReal-RA47.tsv,0.41230738162994385
TestReal-RA19.tsv,0.39264753460884094
TestReal-RA65.tsv,0.41303884983062744
TestReal-RA70.tsv,0.43283823132514954
TestReal-RA33.tsv,0.4450683295726776
TestReal-RA54.tsv,0.40314245223999023
TestReal-RA20.tsv,0.3783080279827118
TestReal-RA6.tsv,0.394224613904953
TestReal-RA46.tsv,0.42011991143226624
TestReal-RA2-18months.tsv,0.4294566214084625
TestReal-RA31.tsv,0.4164468050003052
TestReal-RA23-SF-CD4.tsv,0.44581925868988037
TestReal-RA15.tsv,0.4137428402900696
TestReal-RA69.tsv,0.44448721408843994
TestReal-RA55.tsv,0.400362491607666
