File,Score
TestReal-PRE_11.tsv,0.4079669415950775
TestReal-PRE_19.tsv,0.3978920578956604
TestReal-PRE_28.tsv,0.41656064987182617
TestReal-PRE_7.tsv,0.4145098030567169
TestReal-PRE_15.tsv,0.4020633399486542
TestReal-PRE_27.tsv,0.4045398235321045
TestReal-PRE_12.tsv,0.4273521304130554
TestReal-PRE_18.tsv,0.3892682194709778
TestReal-PRE_26.tsv,0.3879282474517822
TestReal-PRE_21.tsv,0.4210245609283447
TestReal-PRE_29.tsv,0.3870719373226166
TestReal-PRE_32.tsv,0.37748825550079346
TestReal-PRE_8.tsv,0.4330560863018036
TestReal-PRE_23.tsv,0.42356550693511963
TestReal-PRE_9.tsv,0.4055420756340027
TestReal-PRE_25.tsv,0.4269779622554779
TestReal-PRE_24.tsv,0.4025996923446655
TestReal-PRE_33.tsv,0.4074116349220276
TestReal-PRE_14.tsv,0.43514686822891235
TestReal-PRE_13.tsv,0.39021697640419006
TestReal-PRE_5.tsv,0.4098406434059143
